hurdatId,storm_basin,baseYear,storm_name,lf_type,lf_id,baseLoss,base_loss_source,refYear,full_lf_id,baseCcn,baseGdp,refCcn,refGdp,baseUsPop,baseUsHousing,refUsPop,refUsHousing,gdpRatio,ccnRatio,usPopRatio,usHousingRatio,rwpc,rwhu,basePop,refPop,affectedPop,baseHousing,refHousing,affectedHousing,mmh,mmp
AL011900,AL,1900,GALVESTON,LF,1,3e+07,mwr,2023,LF1,138708.52,4.06,96792787,122.27,76635905,14418274,338480949,146869704,30.11576355,697.8142871,4.416741069,10.18635823,5.246190284,2.274715219,47448.99012,586576.2002,12.36224836,9414.244513,248344.7343,26.37967751,54214024615,58594470838
AL011900,AL,1900,GALVESTON,LF,1,3e+07,mwr,2024,LF1,138708.52,4.06,102891828,126.26,76635905,14418274,348873143,148424711,31.09852217,741.7844845,4.552345836,10.29420796,5.239655653,2.317101489,47448.99012,616128.9121,12.98507957,9414.244513,253016.2995,26.87590058,58099057629,63475826974
AL031903,AL,1903,FLORIDA,LF,1,670000,mwr,2023,LF1,151980.53,4.49,96792787,122.27,81024788,15325509,338480949,146869704,27.23162584,636.8762301,4.17749873,9.583349173,5.598415692,2.440417648,24667.055,6952291.795,281.8452302,5771.759728,3123699.083,541.2039362,24097582586,28788842632
AL031903,AL,1903,FLORIDA,LF,1,670000,mwr,2024,LF1,151980.53,4.49,102891828,126.26,81024788,15325509,348873143,148424711,28.12026726,677.0066403,4.305758171,9.684814449,5.59144233,2.48589156,24667.055,7545052.994,305.8757113,5771.759728,3148482.925,545.4979198,25548742276,32222786138
AL061906,AL,1906,STORM 6,ID,1,1650000,mwr,2023,ID1,166522.43,4.81,96792787,122.27,85413402,16232446,338480949,146869704,25.41995842,581.2597558,3.962855255,9.0479096,5.770151412,2.527243955,657196,22610726,34.40484422,143350,10451818,72.91118242,7728586783,8326559412
AL061906,AL,1906,STORM 6,ID,1,1650000,mwr,2024,ID1,166522.43,4.81,102891828,126.26,85413402,16232446,348873143,148424711,26.24948025,617.8856986,4.084524616,9.143705822,5.762964137,2.57433576,657196,24133704,36.72223203,143350,10649052,74.2870736,8282912867,9165995509
AL061906,AL,1906,STORM 6,LF,1,3415000,mwr,2023,LF1,166522.43,4.81,96792787,122.27,85413402,16232446,338480949,146869704,25.41995842,581.2597558,3.962855255,9.0479096,5.770151412,2.527243955,480439.9384,1954668.04,4.068496151,96444.69196,929625.334,9.638947619,2114668668,2037917801
AL061906,AL,1906,STORM 6,LF,1,3415000,mwr,2024,LF1,166522.43,4.81,102891828,126.26,85413402,16232446,348873143,148424711,26.24948025,617.8856986,4.084524616,9.143705822,5.762964137,2.57433576,480439.9384,1989637.841,4.141283191,96444.69196,940013.6772,9.746660579,2249222651,2139401339
AL081906,AL,1906,STORM 8,LF,1,2e+05,mwr,2023,LF1,166522.43,4.81,96792787,122.27,85413402,16232446,338480949,146869704,25.41995842,581.2597558,3.962855255,9.0479096,5.770151412,2.527243955,647.5833707,2592.069804,4.002681231,136.976423,1773.105134,12.94460094,166318540.2,117420262.2
AL081906,AL,1906,STORM 8,LF,1,2e+05,mwr,2024,LF1,166522.43,4.81,102891828,126.26,85413402,16232446,348873143,148424711,26.24948025,617.8856986,4.084524616,9.143705822,5.762964137,2.57433576,647.5833707,2610.976408,4.031876862,136.976423,1782.365512,13.01220657,175859908.6,121984283.9
