"storm_basin","storm_year","storm_name","location","lf_type","lf_id","datetime","record_identifier","storm_status","windspeed","pressure","rmw","ne_34kt","se_34kt","nw_34kt","sw_34kt","ne_50kt","se_50kt","nw_50kt","sw_50kt","ne_64kt","se_64kt","nw_64kt","sw_64kt","hurricane_category","lat","lon"
AL,1900,GALVESTON,POINT (-95.1 29.1),LF,1,1900-09-08 21:00:00.000 -0500,L,HU,120.0,936.0,15.0,,,,,,,,,,,,,4,29.1,-95.1
AL,1903,FLORIDA,POINT (-80.1 26.1),LF,1,1903-09-11 18:00:00.000 -0500,L,HU,75.0,976.0,,,,,,,,,,,,,,1,26.1,-80.1
AL,1906,STORM 6,POINT (-88.6 30.2),LF,1,1906-09-27 06:00:00.000 -0500,L,HU,95.0,,45.0,,,,,,,,,,,,,2,30.2,-88.6
AL,1906,STORM 8,POINT (-81.1 24.7),LF,1,1906-10-18 05:00:00.000 -0500,L,HU,105.0,,10.0,,,,,,,,,,,,,3,24.7,-81.1
AL,1909,GRAND ISLE,POINT (-91.3 29.5),LF,1,1909-09-20 19:00:00.000 -0500,L,HU,100.0,952.0,30.0,,,,,,,,,,,,,3,29.5,-91.3
AL,1909,STORM 11,POINT (-81 24.7),LF,1,1909-10-11 13:00:00.000 -0500,L,HU,100.0,957.0,20.0,,,,,,,,,,,,,3,24.7,-81.0
AL,1909,VELASCO,POINT (-95.3 28.9),LF,1,1909-07-21 12:00:00.000 -0500,L,HU,100.0,,20.0,,,,,,,,,,,,,3,28.9,-95.3
AL,1910,STORM 5,POINT (-82 26.5),LF,1,1910-10-18 01:00:00.000 -0500,L,HU,95.0,955.0,30.0,,,,,,,,,,,,,2,26.5,-82.0
AL,1911,STORM 3,POINT (-80.7 32.2),LF,1,1911-08-28 05:00:00.000 -0500,L,HU,85.0,972.0,25.0,,,,,,,,,,,,,2,32.2,-80.7
AL,1913,STORM 4,POINT (-76.6 34.7),LF,1,1913-09-03 03:00:00.000 -0500,L,HU,75.0,976.0,40.0,,,,,,,,,,,,,1,34.7,-76.6
AL,1915,GALVESTON,POINT (-95.1 29.2),LF,1,1915-08-17 02:00:00.000 -0500,L,HU,115.0,940.0,25.0,,,,,,,,,,,,,4,29.2,-95.1
AL,1915,NEW ORLEANS,POINT (-90.3 29),LF,1,1915-09-29 13:00:00.000 -0500,L,HU,110.0,944.0,20.0,,,,,,,,,,,,,3,29.0,-90.3
AL,1916,STORM 6,POINT (-97.4 27),LF,1,1916-08-18 17:00:00.000 -0500,L,HU,115.0,932.0,25.0,,,,,,,,,,,,,4,27.0,-97.4
AL,1918,STORM 1,POINT (-93.2 29.8),LF,1,1918-08-06 14:00:00.000 -0400,L,HU,105.0,955.0,10.0,,,,,,,,,,,,,3,29.8,-93.2
AL,1919,FLORIDA KEYS,POINT (-82.9 24.6),LF,1,1919-09-10 03:00:00.000 -0400,L,HU,130.0,927.0,15.0,,,,,,,,,,,,,4,24.6,-82.9
